Scientific_Name,Common_Name,name,label,Indicator_Status
Apocynum androsaemifolium,Spreading Dogbane,Apocynum androsaemifolium,Apocynum androsaemifolium - Spreading Dogbane,UPL
Apocynum cannabinum,Indian-Hemp,Apocynum cannabinum,Apocynum cannabinum - Indian Hemp,FAC
Aquilegia canadensis,Red Columbine,Aquilegia canadensis,Aquilegia canadensis - Red Columbine,FAC
Aquilegia chrysantha,Golden Columbine,Aquilegia chrysantha,Aquilegia chrysantha - Golden Columbine,FACW
Aquilegia longissima,Long-Spur Columbine,Aquilegia longissima,Aquilegia longissima - Long Spur Columbine,FACW
Arabis eschscholtziana,Pacific-Coast Eared Rockcress,Arabis eschscholtziana,Arabis eschscholtziana - Pacific Coast Eared Rockcress,FACU
Arabis pycnocarpa,Hairy Eared Rockcress,Arabis pycnocarpa,Arabis pycnocarpa - Hairy Eared Rockcress,FACU
Aralia nudicaulis,Wild Sarsaparilla,Aralia nudicaulis,Aralia nudicaulis - Wild Sarsaparilla,FACU
Aralia racemosa,American Spikenard,Aralia racemosa,Aralia racemosa - American Spikenard,FACU
Aralia spinosa,Devil's-Walkingstick,Aralia spinosa,Aralia spinosa - Devil's Walkingstick,FACU
Arctium minus,Lesser Burrdock,Arctium minus,Arctium minus - Lesser Burrdock,FACU
Arctostaphylos uva-ursi,Red Bearberry,Arctostaphylos uva-ursi,Arctostaphylos uva ursi - Red Bearberry,UPL
Arenaria lanuginosa,Spreading Sandwort,Arenaria lanuginosa,Arenaria lanuginosa - Spreading Sandwort,FACU
Arenaria serpyllifolia,Thyme-Leaf Sandwort,Arenaria serpyllifolia,Arenaria serpyllifolia - Thyme Leaf Sandwort,FACU
Arethusa bulbosa,Dragon's-Mouth,Arethusa bulbosa,Arethusa bulbosa - Dragon's Mouth,OBL
Arisaema dracontium,Greendragon,Arisaema dracontium,Arisaema dracontium - Greendragon,FACW
Arisaema triphyllum,Jack-in-the-Pulpit,Arisaema triphyllum,Arisaema triphyllum - Jack in the Pulpit,FAC
Aristida dichotoma,Church-Mouse Three-Awn,Aristida dichotoma,Aristida dichotoma - Church Mouse Three Awn,FACU
Aristida longespica,Red Three-Awn,Aristida longespica,Aristida longespica - Red Three Awn,FACU
Aristida purpurascens,Arrow-Feather Three-Awn,Aristida purpurascens,Aristida purpurascens - Arrow Feather Three Awn,UPL
Aristida spiciformis,Bottlebrush Three-Awn,Aristida spiciformis,Aristida spiciformis - Bottlebrush Three Awn,FAC
