Scientific_Name,Common_Name,name,label,Indicator_Status
Arnica fulgens,Shining Leopardbane,Arnica fulgens,Arnica fulgens - Shining Leopardbane,FACU
Arnica lanceolata,Lance-Leaf Leopardbane,Arnica lanceolata,Arnica lanceolata - Lance-Leaf Leopardbane,FACW
Arnica latifolia,Daffodil Leopardbane,Arnica latifolia,Arnica latifolia - Daffodil Leopardbane,FAC
Arnica longifolia,Spear-Leaf Leopardbane,Arnica longifolia,Arnica longifolia - Spear-Leaf Leopardbane,FACW
Arnica mollis,Cordilleran Leopardbane,Arnica mollis,Arnica mollis - Cordilleran Leopardbane,FAC
Arnica ovata,Sticky-Leaf Leopardbane,Arnica ovata,Arnica ovata - Sticky-Leaf Leopardbane,FACW
Arrhenatherum elatius,Tall Oat Grass,Arrhenatherum elatius,Arrhenatherum elatius - Tall Oat Grass,UPL
Artemisia annua,Annual Wormwood,Artemisia annua,Artemisia annua - Annual Wormwood,UPL
Artemisia biennis,Biennial Wormwood,Artemisia biennis,Artemisia biennis - Biennial Wormwood,FACW
Artemisia campestris,Pacific Wormwood,Artemisia campestris,Artemisia campestris - Pacific Wormwood,UPL
Artemisia cana,Coaltown Sagebrush,Artemisia cana,Artemisia cana - Coaltown Sagebrush,FACU
Artemisia douglasiana,Douglas' Wormwood,Artemisia douglasiana,Artemisia douglasiana - Douglas' Wormwood,FAC
Artemisia dracunculus,Chicken-Sage,Artemisia dracunculus,Artemisia dracunculus - Chicken-Sage,FACU
Artemisia ludoviciana,White Sagebrush,Artemisia ludoviciana,Artemisia ludoviciana - White Sagebrush,FACU
Artemisia norvegica,Boreal Sagebrush,Artemisia norvegica,Artemisia norvegica - Boreal Sagebrush,FACU
Artemisia papposa,Fuzzy Sagebrush,Artemisia papposa,Artemisia papposa - Fuzzy Sagebrush,FACU
Artemisia potentilloides,Five-Finger Chicken-Sage,Artemisia potentilloides,Artemisia potentilloides - Five-Finger Chicken-Sage,FAC
Artemisia suksdorfii,Coastal Wormwood,Artemisia suksdorfii,Artemisia suksdorfii - Coastal Wormwood,FACU
Artemisia tilesii,Tilesius' Wormwood,Artemisia tilesii,Artemisia tilesii - Tilesius' Wormwood,FACU
Artemisia vulgaris,Common Wormwood,Artemisia vulgaris,Artemisia vulgaris - Common Wormwood,UPL
Arthrocnemum subterminale,Parish's Glasswort,Arthrocnemum subterminale,Arthrocnemum subterminale - Parish's Glasswort,FACW
Aruncus dioicus,Bride's-Feathers,Aruncus dioicus,Aruncus dioicus - Bride's-Feathers,FACU
Arundo donax,Giant-Reed,Arundo donax,Arundo donax - Giant-Reed,FACW
Asarum caudatum,Long-Tail Wild Ginger,Asarum caudatum,Asarum caudatum - Long-Tail Wild Ginger,FAC
Asarum lemmonii,Lemmon's Wild Ginger,Asarum lemmonii,Asarum lemmonii - Lemmon's Wild Ginger,OBL
Asclepias curassavica,Bloodflower,Asclepias curassavica,Asclepias curassavica - Bloodflower,FAC
Asclepias fascicularis,Narrow-Leaf Milkweed,Asclepias fascicularis,Asclepias fascicularis - Narrow-Leaf Milkweed,FAC
Asclepias incarnata,Swamp Milkweed,Asclepias incarnata,Asclepias incarnata - Swamp Milkweed,OBL
Asclepias oenotheroides,Zizotes Milkweed,Asclepias oenotheroides,Asclepias oenotheroides - Zizotes Milkweed,FACU
